"estimator","col","res"
"missForest","X14",68.3605724243541
"rfcont10","X14",-2.08000814751952
"micePMM","X14",25.646459312457
"missForest","X14",67.8147124676556
"rfcont10","X14",-5.97942150711964
"micePMM","X14",38.0464698737919
"missForest","X14",18.5493531182341
"rfcont10","X14",-64.7637222029208
"micePMM","X14",-26.4928975022442
"missForest","X14",35.9178734752071
"rfcont10","X14",-33.4529464649311
"micePMM","X14",-28.4638010244493
"missForest","X14",31.6836642551617
"rfcont10","X14",-22.9834016115646
"micePMM","X14",9.7000580873422
"missForest","X14",60.0551808628608
"rfcont10","X14",-6.38688178598026
"micePMM","X14",53.3812113851188
"missForest","X14",69.0251808628607
"rfcont10","X14",-25.4999061342313
"micePMM","X14",10.0954744679727
"missForest","X14",50.6250150499021
"rfcont10","X14",-35.0681893034142
"micePMM","X14",-40.1038707292599
"missForest","X14",57.1503120874476
"rfcont10","X14",-33.3534435359828
"micePMM","X14",-5.94978085229969
"missForest","X14",63.2944236151446
"rfcont10","X14",-50.5560929237105
"micePMM","X14",21.080635792364
"missForest","X14",92.4213708612764
"rfcont10","X14",25.8371330553608
"micePMM","X14",54.6354227174312
"missForest","X14",49.613531710408
"rfcont10","X14",-52.3778382073103
"micePMM","X14",41.1727306331518
"missForest","X14",106.37145997254
"rfcont10","X14",3.5835977307562
"micePMM","X14",-37.2803506363202
"missForest","X14",61.022447589375
"rfcont10","X14",-43.3134723991367
"micePMM","X14",22.6499445529913
"missForest","X14",56.8236507894595
"rfcont10","X14",-26.4881551636673
"micePMM","X14",11.8315995141786
"missForest","X14",66.0895746422345
"rfcont10","X14",-42.873207901943
"micePMM","X14",1.41484923694357
"missForest","X14",43.2150974283148
"rfcont10","X14",-0.939859449091415
"micePMM","X14",22.1989227438348
"missForest","X14",35.6713715213602
"rfcont10","X14",-44.4843018824098
"micePMM","X14",-34.3517980672755
"missForest","X14",49.8296926651527
"rfcont10","X14",-5.49357204295898
"micePMM","X14",32.9493055922268
"missForest","X14",29.7662037281511
"rfcont10","X14",-10.0949940583619
"micePMM","X14",-0.704335427998075
